2-79516,http://tshop.r10s.jp/1make/cabinet/03640936/03664842/imgrc0062248545.jpg?fitin=700:700,1370.4000,,美容・コスメ・香水 > ヘアケア・スタイリング > アウトバストリートメント,ナプラ CPモイスト 500ml 詰め替え 【送料無料】!!,ゴワつきを抑える！,"<table cellspacing=""2"" cellpadding=""0"" border=""0"">
<tr>
<td><span class=""item_desc""><div style=""font-size:16px; color:#F00;"">
<p>
※本商品は送料無料対象商品のため、お届けは定形外普通郵便となります。<br>
　予めご了承ください。　　→詳細はこちら←</p>
</table>

<br>
<font size=""4"" color=""#F08080""><b>▼よく一緒に購入されている商品▼<b></font>
<br>

<table width=""570"" border=""1"">
<tr>
<td>・ナプラ CPモイスト 200ml <br>【カテゴリー】…洗い流さないトリートメント</td>
</tr>
<tr>
<td>・ナプラ フォーレリア メディカルフェイシャルゲル 100g<br>【カテゴリー】…ボディケア</td>
</tr>
</table> 

<br>
<table class=""coder"" width=""570"">
<tr>
<th colspan=""2"" align=""center""><h2>商品詳細</h2>
</th>
</tr>
<tr>
<th width=""33%"">メーカー</th>
<td width=""67%"">Napla(ナプラ)</td>
</tr>

<tr>
<th>シリーズ</th>
<td>ケアテクト</td>
</tr>
<tr>
<th> 内容量</th>
<td>200ml<br></td>
</tr>
<tr>
<th> 商品説明</th>
<td>パサつきを抑えてしっとりまとまりやすくするトリートメントローションです。保湿・補修を促すジェミニアミノ酸とナノ化したCMC成分・天然セラミドを配合することで保湿・補修を促します。ブローやアイロン等の熱を与えるスタイリングをされる方に。</td>
</tr>
<tr>
<th>使用方法</th>
<td>タオルドライ後の髪に適量を傷んだ毛先を中心にもみ込むように塗布してください。
</td>
</tr>
<tr>
<th>成分</th>
<td>水、エタノール、グリセリン、BG、セラミド2、ジラウロイルグルタミン酸リシンＮａ、クオタニウム-33、コレステロール、ヒドロキシプロピルキトサン、ポリクオタニウム-51、クオタニウム-18、ヒドロキシプロピルトリモニウム加水分解ケラチン、ジメチコノール、オトギリソウエキス、カミツレエキス、シナノキエキス、トウキンセンカエキス、ヤグルマギクエキス、ローマカミツレエキス、ラウリル硫酸Ｎａ、ラウレス硫酸Ｎａ、硫酸Ｎａ、ＰＧ、フェノキシエタノール、イソプロパノール、（Ｃ12-14）パレス-12、メチルパラベン、エチルパラベン、ブチルパラベン、プロピルパラベン、香料</td>
</tr><br>
<tr>
<th>商品区分</th>
<td>化粧品</td>
</tr>
<tr>
<th>原産国</th>
<td>日本</td>
</tr>
<tr>
<th colspan=""2"" align=""right""><img src=""http://image.rakuten.co.jp/1make/cabinet/03642773/img59758588.jpg"" alt=""広告文責"" />
</th>
</tr>
</table><center>
<img src=""https://image.rakuten.co.jp/1make/cabinet/top/03642409/imgrc0064221505.jpg"">
</center>
<br>

<table width=""730"" height=""80"" cellpadding=""5"" cellspacing=""0"" border=""1"" align=""center""> 
<tr>
<td align=""center"" bgcolor=""#FFFFFF"">
<b>送料無料商品と送料別商品を同時にご購入された場合は送料が発生致しますので、<br>予めご了承くださいませ。</b>",ナプラ CPモイスト 500ml 詰め替え 【送料無料】!!：サロン専売品の通販サイト／1make,サロン専売品通販シャンプートリートメント美容院美容室ナプラ CPモイスト 500ml 詰め替え 【送料無料】!!,ゴワつきを抑える！。ナプラ CPモイスト 500ml 詰め替え 【送料無料】!![rn]
2-79517,http://tshop.r10s.jp/1make/cabinet/03640936/03664842/imgrc0062273775.jpg?fitin=700:700,1222.4000,,美容・コスメ・香水 > ヘアケア・スタイリング > アウトバストリートメント,ナプラ インプライム  ボリュームアップミスト 300ml 詰め替え 【送料無料】,ハリ・コシ成分を補いボリュームアップ,"<table cellspacing=""2"" cellpadding=""0"" border=""0"">
<tr>
<td><span class=""item_desc""><div style=""font-size:16px; color:#F00;"">
<p>
※本商品は送料無料対象商品のため、お届けは定形外普通郵便となります。<br>
　予めご了承ください。　　→詳細はこちら←</p>
</table>
<table class=""coder"" width=""570"">
<tr>
<th colspan=""2"" align=""center""><h2>商品詳細</h2>
</th>
</tr>
<tr>
<th width=""33%"">商品名</th>
<td width=""67%""> インプライム インプライム ボリュームアップミスト 300ml レフィル ナプラ </td>
</tr>
<tr>
<th>メーカー</th>
<td>Napla(ナプラ)</td>
</tr>
<tr>
<th>シリーズ</th>
<td>インプライム</td>
</tr>
<tr>
<th> 内容量</th>
<td>300ml<br></td>
</tr>
<tr>
<th>使用方法</th>
<td>シャンプー後、適量を手にとり、髪全体にむらなく塗布します。その後、温水でしっかり洗い流します。</td>
</tr>
<tr>
<th>成分</th>
<td>水、BG、ケラチン(羊毛)、加水分解ケラチン(羽毛)、(ジヒドロキシメチルシリルプロポキシ)ヒドロキシプロピル加水分解ケラチン(羊毛)、加水分解コラーゲン、加水分解シルク、ジラウロイルグルタミン酸リシンNa、グリチルリチン酸2K、グルコシルトレハロース、ポリグルタミン酸、加水分解水添デンプン、アロエフェロックス葉エキス、ノバラエキス、ラベンダーエキス、ローズマリーエキス、タイムエキス、セイヨウノコギリソウエキス、セージエキス、セイヨウオトギリソウエキス、カミツレ花エキス、フユボダイジュ花エキス、トウキンセンカ花エキス、ヤグルマギク花エキス、ローマカミツレエキス、ベタイン、ソルビトール、PCA-Na、セリン、グリシン、グルタミン酸、アラニン、リシン、アルギニン、トレオニン、プロリン、ポリウレタン-14、アクリレーツコポリマーAMP、エタノール、変性アルコール、クエン酸Na、EDTA-2Na、メチルパラベン、プロピルパラベン</td>
</tr><br>
<tr>
<th>商品区分</th>
<td>化粧品</td>
</tr>
<tr>
<th>原産国</th>
<td>日本</td>
</tr>
<tr>
<th colspan=""2"" align=""right""><img src=""http://image.rakuten.co.jp/1make/cabinet/03642773/img59758588.jpg"" alt=""広告文責"" />
</th>
</tr>
</table><center>
<img src=""https://image.rakuten.co.jp/1make/cabinet/top/03642409/imgrc0064221505.jpg"">
</center>
<br>

<table width=""730"" height=""80"" cellpadding=""5"" cellspacing=""0"" border=""1"" align=""center""> 
<tr>
<td align=""center"" bgcolor=""#FFFFFF"">
<b>送料無料商品と送料別商品を同時にご購入された場合は送料が発生致しますので、<br>予めご了承くださいませ。</b>",ナプラ インプライム  ボリュームアップミスト 300ml 詰め替え 【送料無料】：サロン専売品の通販サイト／1make,サロン専売品通販シャンプートリートメント美容院美容室ナプラ インプライム  ボリュームアップミスト 300ml 詰め替え 【送料無料】,ハリ・コシ成分を補いボリュームアップ。ナプラ インプライム  ボリュームアップミスト 300ml 詰め替え 【送料無料】[rn]
2-79518,http://tshop.r10s.jp/1make/cabinet/03640936/03664842/imgrc0062284379.jpg?fitin=700:700,2674.4000,,美容・コスメ・香水 > ヘアケア・スタイリング > アウトバストリートメント,インプライム ナプラ インプライム リペアメソッド ベース0 400ml 詰替え用 ナプラ 送料無料(定形外)!!ナプラ ケアテクト!!,思わず触れたくなるような、一歩先行く憧れの質感へ,"<div style=""padding-left:2px""></div>
</div>
<table cellspacing=""2"" cellpadding=""0"" border=""0"">
<tr>
<td><span class=""item_desc""><div style=""font-size:16px; color:#F00;"">
<p>
※本商品は送料無料対象商品のため、お届けは定形外普通郵便となります。<br>
　予めご了承ください。　　→詳
細はこちら←</p>
</div>
<table class=""coder"" width=""570"">
<tr>
<th colspan=""2"" align=""center""><h2>商品詳細</h2>
</th>
</tr>
<tr>
<th width=""33%"">商品名</th>
<td width=""67%""> インプライム ナプラ インプライム リペアメソッド ベース0 400ml 詰替え用 ナプラ </td>
</tr>
<tr>
<th>メーカー</th>
<td>Napla(ナプラ)</td>
</tr>
<tr>
<th>シリーズ</th>
<td>インプライム</td>
</tr>
<tr>
<th> 内容量</th>
<td>400ml<br></td>
</tr>
<tr>
<th>使用方法</th>
<td>シャンプー後に髪をタオルドライ。 その後、適量を髪全体に塗布し、よく馴染ませます。</td>
</tr>
<tr>
<th>成分</th>
<td>水、アモジメチコン、BG、PG、ヒドロキシプロピルトリモニウム加水分解ケラチン（羊毛）、ヒドロキシプロピルトリモニウム加水分解コラーゲン、ヒドロキシプロピルトリモニウム加水分解シルク、加水分解ケラチン（羽毛）、ヒドロキシプロピルキトサン、アルガニアスピノサ核油、オリーブ油、ホホバ種子油、ノバラエキス、ラベンダーエキス、ローズマリーエキス、タイムエキス、セイヨウノコギリソウエキス、セージエキス、サトウキビエキス、イソアルキル(C10-40)アミドプロピルエチルジモニウムエトサルフェート、マルトデキストリン、ウンカリアトメントサエキス、PCA-Na、乳酸Na、アルギニン、アスパラギン酸、PCA、グリシン、アラニン、セリン、バリン、プロリン、トレオニン、イソロイシン、ヒスチジン、フェニルアラニン、メトキシケイヒ酸エチルヘキシル、オキシベンゾン-4、(C12-14)パレス-12、DPG、ジココジモニウムクロリド、ステアルトリモニウムクロリド、EDTA-2Na、エタノール、フェノキシエタノール、メチルパラベン、エチルパラベン、プロピルパラベン、ブチルパラベン、香料</td>
</tr><br>
<tr>
<th>商品区分</th>
<td>化粧品</td>
</tr>
<tr>
<th>原産国</th>
<td>日本</td>
</tr>
<tr>
<th colspan=""2"" align=""right""><img src=""http://image.rakuten.co.jp/1make/cabinet/03642773/img59758588.jpg"" alt=""広告文責"" />
</th>
</tr>
</table><center>
<img src=""https://image.rakuten.co.jp/1make/cabinet/top/03642409/imgrc0064221505.jpg"">
</center>
<br>

<table width=""730"" height=""80"" cellpadding=""5"" cellspacing=""0"" border=""1"" align=""center""> 
<tr>
<td align=""center"" bgcolor=""#FFFFFF"">
<b>送料無料商品と送料別商品を同時にご購入された場合は送料が発生致しますので、<br>予めご了承くださいませ。</b>",インプライム ナプラ インプライム リペアメソッド ベース0 400ml 詰替え用 ナプラ 送料無料(定形外)!!ナプラ ケアテクト!!：サロン専売品の通販サイト／1make,サロン専売品通販シャンプートリートメント美容院美容室インプライム ナプラ インプライム リペアメソッド ベース0 400ml 詰替え用 ナプラ 送料無料(定形外)!!ナプラ ケアテクト!!,思わず触れたくなるような、一歩先行く憧れの質感へ。インプライム ナプラ インプライム リペアメソッド ベース0 400ml 詰替え用 ナプラ 送料無料(定形外)!!ナプラ ケアテクト!![rn]
2-79519,http://tshop.r10s.jp/1make/cabinet/03640936/03664842/imgrc0062273743.jpg?fitin=700:700,1948.0000,,美容・コスメ・香水 > ヘアケア・スタイリング > アウトバストリートメント,ケアテクト ナプラ ケアテクトOG エッセンスオイル 210ml ナプラ 送料無料（定形外）!!ナプラ ケアテクト!!,自然の恵みを凝縮したエッセンス,"<div style=""padding-left:2px""></div>
</div>
<table cellspacing=""2"" cellpadding=""0"" border=""0"">
<tr>
<td><span class=""item_desc""><div style=""font-size:16px; color:#F00;"">
<p>
※本商品は送料無料対象商品のため、お届けは定形外普通郵便となります。<br>
　予めご了承ください。　　→詳
細はこちら←</p>
</div>
<table class=""coder"" width=""570"">
<tr>
<th colspan=""2"" align=""center""><h2>商品詳細</h2>
</th>
</tr>
<tr>
<th width=""33%"">商品名</th>
<td width=""67%""> ケアテクト ナプラ ケアテクトOG エッセンスオイル 210ml ナプラ </td>
</tr>
<tr>
<th>メーカー</th>
<td>Napla(ナプラ)</td>
</tr>
<tr>
<th>シリーズ</th>
<td>ケアテクト</td>
</tr>
<tr>
<th> 内容量</th>
<td>210ml<br></td>
</tr>
<tr>
<th>使用方法</th>
<td>シャンプー、トリートメント後のタオルドライ後した髪に適量を塗布して全体にのばし、なじませてください。 </td>
</tr>
<tr>
<th>成分</th>
<td>ヒマワリ種子油、コメ胚芽油、スクワラン、オリーブ油、アルガニアスピノサ核油、ホホバ種子油、ツバキ油、シア脂油、メドウフォーム油、メドウフォームエストリド、スギナエキス、シナノエキス、セージエキス、マロニエエキス、ローズマリーエキス、トコフェロール、ダマスクバラ花油、ダマスクバラエキス、ゼラニウム、ローマカミツレ油</td>
</tr><br>
<tr>
<th>商品区分</th>
<td>化粧品</td>
</tr>
<tr>
<th>原産国</th>
<td>日本</td>
</tr>
<tr>
<th colspan=""2"" align=""right""><img src=""http://image.rakuten.co.jp/1make/cabinet/03642773/img59758588.jpg"" alt=""広告文責"" />
</th>
</tr>
</table><center>
<img src=""https://image.rakuten.co.jp/1make/cabinet/top/03642409/imgrc0064221505.jpg"">
</center>
<br>

<table width=""730"" height=""80"" cellpadding=""5"" cellspacing=""0"" border=""1"" align=""center""> 
<tr>
<td align=""center"" bgcolor=""#FFFFFF"">
<b>送料無料商品と送料別商品を同時にご購入された場合は送料が発生致しますので、<br>予めご了承くださいませ。</b>",ケアテクト ナプラ ケアテクトOG エッセンスオイル 210ml ナプラ 送料無料（定形外）!!ナプラ ケアテクト!!：サロン専売品の通販サイト／1make,サロン専売品通販シャンプートリートメント美容院美容室ケアテクト ナプラ ケアテクトOG エッセンスオイル 210ml ナプラ 送料無料（定形外）!!ナプラ ケアテクト!!,自然の恵みを凝縮したエッセンス。ケアテクト ナプラ ケアテクトOG エッセンスオイル 210ml ナプラ 送料無料（定形外）!!ナプラ ケアテクト!![rn]
2-79520,http://tshop.r10s.jp/e-serio/cabinet/04945649/imgrc0068080587.jpg?fitin=700:700,1680.0000,,美容・コスメ・香水 > ヘアケア・スタイリング > アウトバストリートメント,R-21 CMCヒートミスト,,"ヘマチンと21種類の天然植物抽出エキス、8種類のアミノ酸（保湿成分）と
ケラチン・コラーゲンPPT（毛髪保護成分）配合のミストタイプトリートメントです。
スタイリング時のドライヤーやアイロンの熱から髪を守り、
カラー・パーマで失われたCMC成分を補給します。
また、熱を利用し、髪内部にうるおい成分を閉じ込め表面をコートします。<!-- ↓ここからコンパス「共通説明文(大)」設置用HTMLタグです↓

　※当HTMLタグを貼付け時、既に入力されているHTMLがある場合、
　　そちらを削除すると後から元に戻す事ができません。
　　削除される場合は、必ずお手元にバックアップをお願いします。　　　　　-->
<link href=""http://www.rakuten.ne.jp/gold/e-serio/compass/shop/css/style_rms.css"" type=""text/css"" media=""all"" rel=""stylesheet"">

<table width=""728"" cellpadding=""0"" cellspacing=""0"" border=""0"" style=""margin:0 auto; padding:0;"">
<tr>
<td>

</td>
</tr>
</table>
<!-- ↑ここまでがcompass for 楽天市場 ショップページ設置用HTMLタグです↑　-->",R-21 CMCヒートミスト：クオリア,シャンプーノンシリコンアトピー植物由来shu uemuraセフィーヌトリートメントくせ毛頭皮ヘアービューロンヘアービューザーサプリメントサンコールR-21アンリサンクR-21 CMCヒートミスト,R-21 CMCヒートミスト[rn]
2-79521,http://tshop.r10s.jp/suma/cabinet/hair_care/imgrc0066094664.jpg?fitin=700:700,1040.0000,,美容・コスメ・香水 > ヘアケア・スタイリング > アウトバストリートメント,サローネ スーパーブラウン ヘアエッセンス 50ml SALONE,【数量限定価格】,"<TABLE width=""300"" bgcolor=""#ff8080"" cellpadding=""5"" cellspacing=""1"">
<TBODY>
<TR>
<TD bgcolor=""#ffffff"">毛先までなめらかなツヤ髪へ！<BR>
<BR>
パサつくダメージヘアを補修・保護し、潤いと<BR>
輝きを与える髪の美容液です。<BR>
<BR>
つけた瞬間、美しいツヤと毛先まで感じる<BR>
なめらかな指通りを実感できます。<BR>
<BR>
≪ご使用方法≫<BR>
シャンプーまたはトリートメント後、タオルドライした濡れた髪全体に、手のひらでよく伸ばしたエッセンスをなじめせるように塗布し、その後ドライヤー等で乾かしてください。ミディアムヘアで２プッシュが目安です。</TD>
</TR>
</TBODY>
</TABLE><IMG src=""http://www.rakuten.ne.jp/gold/suma/head/spadeco-024.gif"" width=""750"" height=""100"" border=""0"">",サローネ スーパーブラウン ヘアエッセンス 50ml SALONE：スマスタshop,プリグリオピーリングサローネ スーパーブラウン ヘアエッセンス 50ml SALONE,【数量限定価格】。サローネ スーパーブラウン ヘアエッセンス 50ml SALONE[rn]
2-79522,http://tshop.r10s.jp/suma/cabinet/hair_care/imgrc0066369267.jpg?fitin=700:700,1040.0000,,美容・コスメ・香水 > ヘアケア・スタイリング > アウトバストリートメント,サローネ スーパーブラウン ボリュームアップフォーム 150ml SALONE,【数量限定価格】,"<TABLE width=""300"" bgcolor=""#ff8080"" cellpadding=""5"" cellspacing=""1"">
<TBODY>
<TR>
<TD bgcolor=""#ffffff"">ボリュームのあるフワッと髪へ！<BR>
<BR>
髪のダメージを補修しながら、ハリ、コシの<BR>
ない髪に自然なボリュームを与え、<BR>
ふんわりと仕上げるスタイリングフォームです。<BR>
<BR>
固まらないので、手ぐしでいつでも毛流れを整えられます。<BR>
<BR>
≪ご使用方法≫<BR>
乾いた髪にご使用ください。<BR>
適量（2～３プッシュ）を手のひらで軽く<BR>
伸ばし、ボリュームが欲しい部分の髪を<BR>
持ち上げ、根元を中心になじませます。<BR>
その後、ドライヤーで根元を立ち上げる<BR>
ようにブローします。<BR>
</TD>
</TR>
</TBODY>
</TABLE><IMG src=""http://www.rakuten.ne.jp/gold/suma/head/spadeco-024.gif"" width=""750"" height=""100"" border=""0"">",サローネ スーパーブラウン ボリュームアップフォーム 150ml SALONE：スマスタshop,プリグリオピーリングサローネ スーパーブラウン ボリュームアップフォーム 150ml SALONE,【数量限定価格】。サローネ スーパーブラウン ボリュームアップフォーム 150ml SALONE[rn]
2-79523,http://tshop.r10s.jp/suma/cabinet/hair_care/02.jpg?fitin=700:700,1480.0000,,美容・コスメ・香水 > ヘアケア・スタイリング > アウトバストリートメント,カロミーオ 60ml 『あこがれの上質な髪に・・・』,,"<TABLE width=""300"" bgcolor=""#ff8080"" cellpadding=""5"" cellspacing=""1"">
<TBODY>
<TR>
<TD bgcolor=""#ffffff"">カロミーオ　60ml<BR>
『あこがれの髪に・・・』<BR>
べたつかないトリートメントです。<BR>
シャンプーまたはトリートメント後、軽くタオルドライをしてから髪全体になじませるだけ！
</TD>
</TR>
</TBODY>
</TABLE><IMG src=""http://www.rakuten.ne.jp/gold/suma/head/spadeco-024.gif"" width=""750"" height=""100"" border=""0"">",カロミーオ 60ml 『あこがれの上質な髪に・・・』：スマスタshop,プリグリオピーリングカロミーオ 60ml 『あこがれの上質な髪に・・・』,カロミーオ 60ml 『あこがれの上質な髪に・・・』[rn]
2-79524,http://tshop.r10s.jp/suma/cabinet/haircare/haircare018.jpg?fitin=700:700,1176.0000,,美容・コスメ・香水 > ヘアケア・スタイリング > アウトバストリートメント,キューティフィックス ヘアトリートメント 150ml  形状記憶美容液,ノンシリコン,"<TABLE width=""400"" bgcolor=""#ff8080"" cellpadding=""5"" cellspacing=""1"">
<TBODY>
<TR>
<TD bgcolor=""#ffffff"">ドライヤーやヘアアイロンの熱を与えることにより、形状記憶トリートメントが得られます。<BR>
シャンプーしてもストレートや巻き髪等のスタイリングが再現しやすくなり、朝のスタイリングも簡単に。特にハネ、うねりでお悩みの方におすすめです。<BR>
　<BR>
【使用方法】<BR>
シャンプー後のタオルドライした髪に塗布し、ドライヤーでブローしてください。<BR>
その後ヘアアイロンでスタイリングしてください。<BR>
<BR>
*こちらの商品はお取り寄せ商品です。<BR>
　商品の発送までに２日～１週間ほどお時間が掛かります。

</TD>
</TR>
</TBODY>
</TABLE><IMG src=""http://www.rakuten.ne.jp/gold/suma/head/spadeco-024.gif"" width=""750"" height=""100"" border=""0"">",キューティフィックス ヘアトリートメント 150ml  形状記憶美容液：スマスタshop,プリグリオピーリングキューティフィックス ヘアトリートメント 150ml  形状記憶美容液,ノンシリコン。キューティフィックス ヘアトリートメント 150ml  形状記憶美容液[rn]
2-79525,http://tshop.r10s.jp/suma/cabinet/haircare/haircare015.jpg?fitin=700:700,1440.0000,,美容・コスメ・香水 > ヘアケア・スタイリング > アウトバストリートメント,キューティマム ヘアトリートメント 150ml  ボリュームアップ形状記憶トリートメント CUTIMOM,ノンシリコン,"<TABLE width=""400"" bgcolor=""#ff8080"" cellpadding=""5"" cellspacing=""1"">
<TBODY>
<TR>
<TD bgcolor=""#ffffff"">新感覚！ボリュームアップ形状記憶トリートメント<BR>
　<BR>
◇ボリュームアップでスタイル決まる！<BR>
擬似セラミドポリマー、セラキュート配合(ハリコシ)髪内部のダメージホールの補修と柔らか皮膜で髪を強化します。加齢による髪のうねりを抑え、ふんわりボリュームアップ！<BR>
　<BR>
◇感熱架橋型トリートメント(エルカラクトン)配合<BR>
新素材エルカラクトン(ハリコシ)は、毛髪のアミノ基と熱で架橋する天然由来キューティクル擬似成分です。これによりバージンヘアーに近い、自然で美しいキューティクルを形成します。<BR>
　<BR>
◇洗っても続く形状記憶<BR>
スタイリングに合わせてキューティクルが整い、形状記憶がえられます。パサパサの髪、まとまらないクセ毛もサラッとツヤのある髪に仕上がり、シャンプー後も持続。スタイリングがとても感谷なります。<BR>
　<BR>
【ご使用方法】<BR>
◇シャンプー後、タオルドライした髪にたっぷり(10～15cc)スプレーしドライヤーでブローしてください。<BR>
◇その後ヘアアイロンやホットカーラー等でスタイリングしてください。<BR>
◇乾いた髪にご使用の際は全体にムラなく塗布するようにしてください。<BR>
<BR>
*こちらの商品はお取り寄せ商品です。<BR>
　商品の発送までに２日～１週間ほどお時間が掛かります。

</TD>
</TR>
</TBODY>
</TABLE><IMG src=""http://www.rakuten.ne.jp/gold/suma/head/spadeco-024.gif"" width=""750"" height=""100"" border=""0"">",キューティマム ヘアトリートメント 150ml  ボリュームアップ形状記憶トリートメント CUTIMOM：スマスタshop,プリグリオピーリングキューティマム ヘアトリートメント 150ml  ボリュームアップ形状記憶トリートメント CUTIMOM,ノンシリコン。キューティマム ヘアトリートメント 150ml  ボリュームアップ形状記憶トリートメント CUTIMOM[rn]
2-79526,http://tshop.r10s.jp/suma/cabinet/cefine/cefine139.jpg?fitin=700:700,840.0000,,美容・コスメ・香水 > ヘアケア・スタイリング > アウトバストリートメント,テクノエイト ミントプラス 150ml ポンプ,,"<TABLE width=""100%"" bgcolor=""#ff8080"" cellpadding=""5"" cellspacing=""1"">
<TBODY>
<TR>
<TD bgcolor=""#ffffff"">

テクノエイト ロハス ハーブ ミント プラスは、天然メントール・セイヨウハッカ油が頭皮を爽快にし、11種類の厳選ハーブエキスが毛髪・頭皮を癒します。<BR>
●市販のクール系商品に比べ、爽快感が長続きします。<BR>
●頭皮をやさしく爽快に包み込むスキャルプハーブエキスです。<BR>
●シャンプーやトリートメントと併用して戴きながら頭皮環境を整えていきます。<BR>
今ご使用のサロンアイテムに1～2プッシュプラスしていただくだけでOKです。<BR>
ホームケアもシャンプー・トリートメント又はボディーソープにプラスしていただきリフレッシュなロハスライフをサポートします。ご家庭でお使いのシャンプー・トリートメント・ボディソープにプラスしてお使いください。<BR>

</TD>
</TR>
</TBODY>
</TABLE><IMG src=""http://www.rakuten.ne.jp/gold/suma/head/spadeco-024.gif"" width=""750"" height=""100"" border=""0"">",テクノエイト ミントプラス 150ml ポンプ：スマスタshop,プリグリオピーリングテクノエイト ミントプラス 150ml ポンプ,テクノエイト ミントプラス 150ml ポンプ[rn]
