4-99419,http://tshop.r10s.jp/housegram/cabinet/500/imgrc0065591122.jpg?fitin=700:700,1600.0000,,キッチン用品・食器・調理器具 > 食器・カトラリー・グラス > 食器 > 皿・プレート,九谷青窯　徳永遊心 色絵花つなぎ／5寸平皿【とくながゆうしん 九谷焼 うつわ 和食器 作家 陶磁器 テーブルウェア 青窯 くたにせいよう】,九谷焼 九谷青窯 徳永遊心 皿 器 うつわ 食器,"<div class=""cart_title""><p class=""cart_title"">商品スペック</p></div><div class=""cart_box""><p class=""cart_box"">つくり手／徳永遊心（とくながゆうしん）<br>
窯元／九谷青窯<br>
アイテム名：色絵花つなぎ <strong>5寸皿</strong><br>
素材：磁器<br>サイズ：φ約160mm×H約26mm<br>生産地 ：日本（石川県）<br>＊レンジ不可、オーブン不可、食洗機不可
</p></div><table width=""800"" border=""0"" cellspacing=""0"" cellpadding=""20"">
  <tbody>
    <tr>
      <td><img src=""http://www.rakuten.ne.jp/gold/housegram/Images/item/c0250.jpg"" width=""800"" height=""280"" alt=""""/></td>
    </tr>
  </tbody>
</table>",九谷青窯　徳永遊心 色絵花つなぎ／5寸平皿【とくながゆうしん 九谷焼 うつわ 和食器 作家 陶磁器 テーブルウェア 青窯 くたにせいよう】：ハウスグラム,うつわ食器作家ハウスグラムお皿キッチン用品九谷焼有田焼波佐見焼九谷青窯1616aritajapanKINTO工房アイザワSur　アクセサリー野田琺瑯アマブロムーミン北欧倉敷意匠コーヒー用品九谷青窯　徳永遊心 色絵花つなぎ／5寸平皿【とくながゆうしん 九谷焼 うつわ 和食器 作家 陶磁器 テーブルウェア 青窯 くたにせいよう】,九谷焼 九谷青窯 徳永遊心 皿 器 うつわ 食器。九谷青窯　徳永遊心 色絵花つなぎ／5寸平皿【とくながゆうしん 九谷焼 うつわ 和食器 作家 陶磁器 テーブルウェア 青窯 くたにせいよう】[rn]
4-99420,http://tshop.r10s.jp/housegram/cabinet/500/imgrc0066440335.jpg?fitin=700:700,1920.0000,,キッチン用品・食器・調理器具 > 食器・カトラリー・グラス > 食器 > 皿・プレート,sen 檸檬皿（レモン皿）【京千 作家 和食器 楕円皿 波佐見焼】,やきもの工房・ギャラリー京千の素敵な器,"<div class=""cart_title""><p class=""cart_title"">商品スペック</p></div><div class=""cart_box""><p class=""cart_box"">つくり手：sen／京千<br>
アイテム名：檸檬皿（レモン皿）<br>
素材：陶器<br>サイズ：W208×D135×H22<br>生産地 ：長崎県（波佐見焼）<br>
</p></div><table width=""800"" border=""0"" cellspacing=""0"" cellpadding=""20"">
  <tbody>
    <tr>
      <td><img src=""http://www.rakuten.ne.jp/gold/housegram/Images/item/c0250.jpg"" width=""800"" height=""280"" alt=""""/></td>
    </tr>
  </tbody>
</table>",sen 檸檬皿（レモン皿）【京千 作家 和食器 楕円皿 波佐見焼】：ハウスグラム,うつわ食器作家ハウスグラムお皿キッチン用品九谷焼有田焼波佐見焼九谷青窯1616aritajapanKINTO工房アイザワSur　アクセサリー野田琺瑯アマブロムーミン北欧倉敷意匠コーヒー用品sen 檸檬皿（レモン皿）【京千 作家 和食器 楕円皿 波佐見焼】,やきもの工房・ギャラリー京千の素敵な器。sen 檸檬皿（レモン皿）【京千 作家 和食器 楕円皿 波佐見焼】[rn]
4-99421,http://tshop.r10s.jp/housegram/cabinet/501/imgrc0067363731.jpg?fitin=700:700,2600.0000,,キッチン用品・食器・調理器具 > 食器・カトラリー・グラス > 食器 > 皿・プレート,glass atelier えむに ソーダのプレート（小）φ16cm【ガラス工房 作家 皿 器 丸皿 平皿】,えむに/水上竜太/マエダミユキ/ガラス食器/,"<div class=""cart_title""><p class=""cart_title"">商品スペック</p></div><div class=""cart_box"">
  <p class=""cart_box"">つくり手：glass atelier えむに<br>
アイテム名：ソーダのプレート（小）<br>
素材：ガラス※耐熱ではありません<br>
サイズ：【A】φ157-159mm×H15mm、【B】φ162-165mm×H20mm、【C】φ154mm×H13mm ※【B】は少しリムが立ったデザインです<br>生産地：福井県坂井市<br>＊手作りのため1点ごとにサイズが若干異なります<br>＊こちらの商品は個体差が大きいため1点ごとの販売となります
</p></div><table width=""800"" border=""0"" cellspacing=""0"" cellpadding=""20"">
  <tbody>
    <tr>
      <td><img src=""http://www.rakuten.ne.jp/gold/housegram/Images/item/c0250.jpg"" width=""800"" height=""280"" alt=""""/></td>
    </tr>
  </tbody>
</table>",glass atelier えむに ソーダのプレート（小）φ16cm【ガラス工房 作家 皿 器 丸皿 平皿】：ハウスグラム,うつわ食器作家ハウスグラムお皿キッチン用品九谷焼有田焼波佐見焼九谷青窯1616aritajapanKINTO工房アイザワSur　アクセサリー野田琺瑯アマブロムーミン北欧倉敷意匠コーヒー用品glass atelier えむに ソーダのプレート（小）φ16cm【ガラス工房 作家 皿 器 丸皿 平皿】,えむに/水上竜太/マエダミユキ/ガラス食器/。glass atelier えむに ソーダのプレート（小）φ16cm【ガラス工房 作家 皿 器 丸皿 平皿】[rn]
4-99422,http://tshop.r10s.jp/housegram/cabinet/500/imgrc0065573784.jpg?fitin=700:700,1600.0000,,キッチン用品・食器・調理器具 > 食器・カトラリー・グラス > 食器 > 皿・プレート,陶房ななかまど 花尽くし／4.5寸平皿【九谷青窯 九谷焼 作家】,九谷焼 ななかまど 皿 器 うつわ 食器 九谷青窯,"<div class=""cart_title""><p class=""cart_title"">商品スペック</p></div><div class=""cart_box""><p class=""cart_box"">つくり手：陶房ななかまど<br>
アイテム名：花尽くし <strong>4.5寸平皿</strong><br>
素材：磁器<br>サイズ：φ約138mm×H約20mm<br>生産地 ：日本（石川県）<br>＊レンジ不可、オーブン不可、食洗機不可
</p></div><table width=""800"" border=""0"" cellspacing=""0"" cellpadding=""20"">
  <tbody>
    <tr>
      <td><img src=""http://www.rakuten.ne.jp/gold/housegram/Images/item/c0250.jpg"" width=""800"" height=""280"" alt=""""/></td>
    </tr>
  </tbody>
</table>",陶房ななかまど 花尽くし／4.5寸平皿【九谷青窯 九谷焼 作家】：ハウスグラム,うつわ食器作家ハウスグラムお皿キッチン用品九谷焼有田焼波佐見焼九谷青窯1616aritajapanKINTO工房アイザワSur　アクセサリー野田琺瑯アマブロムーミン北欧倉敷意匠コーヒー用品陶房ななかまど 花尽くし／4.5寸平皿【九谷青窯 九谷焼 作家】,九谷焼 ななかまど 皿 器 うつわ 食器 九谷青窯。陶房ななかまど 花尽くし／4.5寸平皿【九谷青窯 九谷焼 作家】[rn]
4-99423,http://tshop.r10s.jp/housegram/cabinet/500/imgrc0065484727.jpg?fitin=700:700,1440.0000,,キッチン用品・食器・調理器具 > 食器・カトラリー・グラス > 食器 > 皿・プレート,九谷青窯　米満麻子　色絵蝶／4寸平皿【くたにせいよう よねみつあさこ 九谷焼 うつわ 和食器 作家 陶磁器 テーブルウェア 青窯】,九谷焼 九谷青窯 米満麻子 皿 うつわ,"<div class=""cart_title""><p class=""cart_title"">商品スペック</p></div><div class=""cart_box""><p class=""cart_box"">作家：米満麻子（よねみつあさこ）<br>窯元／九谷青窯
アイテム名：色絵蝶 <strong>4寸平皿</strong><br>
素材：磁器<br>サイズ：φ約124mm×H約24mm<br>生産地 ：日本（石川県）<br>＊レンジ不可、オーブン不可、食洗機不可
</p></div><table width=""800"" border=""0"" cellspacing=""0"" cellpadding=""20"">
  <tbody>
    <tr>
      <td><img src=""http://www.rakuten.ne.jp/gold/housegram/Images/item/c0250.jpg"" width=""800"" height=""280"" alt=""""/></td>
    </tr>
  </tbody>
</table>",九谷青窯　米満麻子　色絵蝶／4寸平皿【くたにせいよう よねみつあさこ 九谷焼 うつわ 和食器 作家 陶磁器 テーブルウェア 青窯】：ハウスグラム,うつわ食器作家ハウスグラムお皿キッチン用品九谷焼有田焼波佐見焼九谷青窯1616aritajapanKINTO工房アイザワSur　アクセサリー野田琺瑯アマブロムーミン北欧倉敷意匠コーヒー用品九谷青窯　米満麻子　色絵蝶／4寸平皿【くたにせいよう よねみつあさこ 九谷焼 うつわ 和食器 作家 陶磁器 テーブルウェア 青窯】,九谷焼 九谷青窯 米満麻子 皿 うつわ。九谷青窯　米満麻子　色絵蝶／4寸平皿【くたにせいよう よねみつあさこ 九谷焼 うつわ 和食器 作家 陶磁器 テーブルウェア 青窯】[rn]
4-99424,http://tshop.r10s.jp/housegram/cabinet/500/imgrc0065978216.jpg?fitin=700:700,1440.0000,,キッチン用品・食器・調理器具 > 食器・カトラリー・グラス > 食器 > 皿・プレート,九谷青窯　米満麻子　色絵梅ちらし／4寸平皿【くたにせいよう よねみつあさこ 九谷焼 うつわ 和食器 作家 陶磁器 テーブルウェア 青窯 梅散らし】,九谷焼 九谷青窯 米満麻子 皿 うつわ,"<div class=""cart_title""><p class=""cart_title"">商品スペック</p></div><div class=""cart_box""><p class=""cart_box"">作家：米満麻子（よねみつあさこ）<br>窯元／九谷青窯
アイテム名：色絵梅ちらし <strong>4寸平皿</strong><br>
素材：磁器<br>サイズ：φ約122mm×H約24mm<br>生産地 ：日本（石川県）<br>＊レンジ不可、オーブン不可、食洗機不可
</p></div><table width=""800"" border=""0"" cellspacing=""0"" cellpadding=""20"">
  <tbody>
    <tr>
      <td><img src=""http://www.rakuten.ne.jp/gold/housegram/Images/item/c0250.jpg"" width=""800"" height=""280"" alt=""""/></td>
    </tr>
  </tbody>
</table>",九谷青窯　米満麻子　色絵梅ちらし／4寸平皿【くたにせいよう よねみつあさこ 九谷焼 うつわ 和食器 作家 陶磁器 テーブルウェア 青窯 梅散らし】：ハウスグラム,うつわ食器作家ハウスグラムお皿キッチン用品九谷焼有田焼波佐見焼九谷青窯1616aritajapanKINTO工房アイザワSur　アクセサリー野田琺瑯アマブロムーミン北欧倉敷意匠コーヒー用品九谷青窯　米満麻子　色絵梅ちらし／4寸平皿【くたにせいよう よねみつあさこ 九谷焼 うつわ 和食器 作家 陶磁器 テーブルウェア 青窯 梅散らし】,九谷焼 九谷青窯 米満麻子 皿 うつわ。九谷青窯　米満麻子　色絵梅ちらし／4寸平皿【くたにせいよう よねみつあさこ 九谷焼 うつわ 和食器 作家 陶磁器 テーブルウェア 青窯 梅散らし】[rn]
4-99425,http://tshop.r10s.jp/housegram/cabinet/500/imgrc0065903065.jpg?fitin=700:700,960.0000,,キッチン用品・食器・調理器具 > 食器・カトラリー・グラス > 食器 > 皿・プレート,KANEAKI SAKAI POTTERY　flat（フラット）　5プレート／3カラー【金秋酒井製陶所 カネアキサカイポタリー 和食器 陶磁器 作家 美濃焼】,作家性とデザイン性に溢れるカネアキサカイポタリーの器,"<div class=""cart_title""><p class=""cart_title"">商品スペック</p></div><div class=""cart_box""><p class=""cart_box"">作り手：KANEAKI SAKAI POTTERY<br>
窯元：金秋酒井製陶所<br>
アイテム名：flat　<strong>5 プレート</strong><br>
カラー：ペールブルー、アイボリー、コバルト<br>
素材：陶器<br>サイズ：φ約155×H約20mm<br>生産地 ：日本（美濃焼）<br>＊レンジ可、食洗機可
</p></div><table width=""800"" border=""0"" cellspacing=""0"" cellpadding=""20"">
  <tbody>
    <tr>
      <td><img src=""http://www.rakuten.ne.jp/gold/housegram/Images/item/c0250.jpg"" width=""800"" height=""280"" alt=""""/></td>
    </tr>
  </tbody>
</table>",KANEAKI SAKAI POTTERY　flat（フラット）　5プレート／3カラー【金秋酒井製陶所 カネアキサカイポタリー 和食器 陶磁器 作家 美濃焼】：ハウスグラム,うつわ食器作家ハウスグラムお皿キッチン用品九谷焼有田焼波佐見焼九谷青窯1616aritajapanKINTO工房アイザワSur　アクセサリー野田琺瑯アマブロムーミン北欧倉敷意匠コーヒー用品KANEAKI SAKAI POTTERY　flat（フラット）　5プレート／3カラー【金秋酒井製陶所 カネアキサカイポタリー 和食器 陶磁器 作家 美濃焼】,作家性とデザイン性に溢れるカネアキサカイポタリーの器。KANEAKI SAKAI POTTERY　flat（フラット）　5プレート／3カラー【金秋酒井製陶所 カネアキサカイポタリー 和食器 陶磁器 作家 美濃焼】[rn]
4-99426,http://tshop.r10s.jp/housegram/cabinet/500/imgrc0065564860.jpg?fitin=700:700,1600.0000,,キッチン用品・食器・調理器具 > 食器・カトラリー・グラス > 食器 > 皿・プレート,陶房ななかまど 色絵菊花紋／4.5寸平皿【九谷焼 うつわ 和食器 作家 陶磁器 テーブルウェア 九谷青窯】,九谷焼 ななかまど 皿 器 うつわ 食器 九谷青窯,"<div class=""cart_title""><p class=""cart_title"">商品スペック</p></div><div class=""cart_box""><p class=""cart_box"">つくり手：陶房ななかまど<br>
アイテム名：色絵菊花紋 <strong>4.5寸平皿</strong><br>
素材：磁器<br>サイズ：φ約136mm×H約21mm<br>生産地 ：日本（石川県）<br>＊レンジ不可、オーブン不可、食洗機不可
</p></div><table width=""800"" border=""0"" cellspacing=""0"" cellpadding=""20"">
  <tbody>
    <tr>
      <td><img src=""http://www.rakuten.ne.jp/gold/housegram/Images/item/c0250.jpg"" width=""800"" height=""280"" alt=""""/></td>
    </tr>
  </tbody>
</table>",陶房ななかまど 色絵菊花紋／4.5寸平皿【九谷焼 うつわ 和食器 作家 陶磁器 テーブルウェア 九谷青窯】：ハウスグラム,うつわ食器作家ハウスグラムお皿キッチン用品九谷焼有田焼波佐見焼九谷青窯1616aritajapanKINTO工房アイザワSur　アクセサリー野田琺瑯アマブロムーミン北欧倉敷意匠コーヒー用品陶房ななかまど 色絵菊花紋／4.5寸平皿【九谷焼 うつわ 和食器 作家 陶磁器 テーブルウェア 九谷青窯】,九谷焼 ななかまど 皿 器 うつわ 食器 九谷青窯。陶房ななかまど 色絵菊花紋／4.5寸平皿【九谷焼 うつわ 和食器 作家 陶磁器 テーブルウェア 九谷青窯】[rn]
4-99427,http://tshop.r10s.jp/housegram/cabinet/500/imgrc0066441355.jpg?fitin=700:700,3840.0000,,キッチン用品・食器・調理器具 > 食器・カトラリー・グラス > 食器 > 皿・プレート,sen ユニット 8.5プレート（2カラー）【京千 作家 和食器 丸皿 平皿 波佐見焼 送料無料】,やきもの工房・ギャラリー京千の素敵な器,"<div class=""cart_title""><p class=""cart_title"">商品スペック</p></div><div class=""cart_box""><p class=""cart_box"">つくり手：sen／京千<br>
アイテム名：檸檬皿（レモン皿）<br>
素材：陶器<br>サイズ：W208×D135×H22<br>生産地 ：長崎県（波佐見焼）<br>
</p></div><table width=""800"" border=""0"" cellspacing=""0"" cellpadding=""20"">
  <tbody>
    <tr>
      <td><img src=""http://www.rakuten.ne.jp/gold/housegram/Images/item/c0250.jpg"" width=""800"" height=""280"" alt=""""/></td>
    </tr>
  </tbody>
</table>",sen ユニット 8.5プレート（2カラー）【京千 作家 和食器 丸皿 平皿 波佐見焼 送料無料】：ハウスグラム,うつわ食器作家ハウスグラムお皿キッチン用品九谷焼有田焼波佐見焼九谷青窯1616aritajapanKINTO工房アイザワSur　アクセサリー野田琺瑯アマブロムーミン北欧倉敷意匠コーヒー用品sen ユニット 8.5プレート（2カラー）【京千 作家 和食器 丸皿 平皿 波佐見焼 送料無料】,やきもの工房・ギャラリー京千の素敵な器。sen ユニット 8.5プレート（2カラー）【京千 作家 和食器 丸皿 平皿 波佐見焼 送料無料】[rn]
4-99428,http://tshop.r10s.jp/housegram/cabinet/500/imgrc0065882263.jpg?fitin=700:700,2240.0000,,キッチン用品・食器・調理器具 > 食器・カトラリー・グラス > 食器 > 皿・プレート,内村七生 うちむらなお カップケーキ プレート（新作）【プレート 角皿 平皿 うつわ 和食器 洋食器 作家 陶磁器 テーブルウェア 九谷青窯 くたにせいよう】,内村七生/角皿/プレート/うつわ/和食器/陶磁器/,"<div class=""cart_title""><p class=""cart_title"">商品スペック</p></div><div class=""cart_box""><p class=""cart_box"">作家：内村七生（うちむらなお）<br>
アイテム名：カップケーキ <strong>プレート</strong><br>
素材：磁器<br>サイズ：W約175mm × D約123mm × H約14mm<br>生産地 ：日本（愛知県瀬戸市）<br>＊レンジ不可、オーブン不可、食洗機不可
</p></div><table width=""800"" border=""0"" cellspacing=""0"" cellpadding=""20"">
  <tbody>
    <tr>
      <td><img src=""http://www.rakuten.ne.jp/gold/housegram/Images/item/c0250.jpg"" width=""800"" height=""280"" alt=""""/></td>
    </tr>
  </tbody>
</table>",内村七生 うちむらなお カップケーキ プレート（新作）【プレート 角皿 平皿 うつわ 和食器 洋食器 作家 陶磁器 テーブルウェア 九谷青窯 くたにせいよう】：ハウスグラム,うつわ食器作家ハウスグラムお皿キッチン用品九谷焼有田焼波佐見焼九谷青窯1616aritajapanKINTO工房アイザワSur　アクセサリー野田琺瑯アマブロムーミン北欧倉敷意匠コーヒー用品内村七生 うちむらなお カップケーキ プレート（新作）【プレート 角皿 平皿 うつわ 和食器 洋食器 作家 陶磁器 テーブルウェア 九谷青窯 くたにせいよう】,内村七生/角皿/プレート/うつわ/和食器/陶磁器/。内村七生 うちむらなお カップケーキ プレート（新作）【プレート 角皿 平皿 うつわ 和食器 洋食器 作家 陶磁器 テーブルウェア 九谷青窯 くたにせいよう】[rn]
4-99429,http://tshop.r10s.jp/housegram/cabinet/500/imgrc0065432317.jpg?fitin=700:700,2240.0000,,キッチン用品・食器・調理器具 > 食器・カトラリー・グラス > 食器 > 皿・プレート,内村七生 うちむらなお 色絵小菊 長角平皿【プレート 角皿 平皿 うつわ 和食器 洋食器 作家 陶磁器 テーブルウェア 色絵 絵付 九谷焼 青窯】,内村七生/色絵小菊/角皿/プレート/うつわ/和食器/陶磁器/,"<div class=""cart_title""><p class=""cart_title"">商品スペック</p></div><div class=""cart_box""><p class=""cart_box"">作家：内村七生（うちむらなお）<br>
アイテム名：色絵小菊唐草 <strong>長角平皿</strong><br>
素材：磁器<br>サイズ：W約175mm × D約123mm × H約14mm<br>生産地 ：日本（愛知県瀬戸市）<br>＊レンジ不可、オーブン不可、食洗機不可
</p></div><table width=""800"" border=""0"" cellspacing=""0"" cellpadding=""20"">
  <tbody>
    <tr>
      <td><img src=""http://www.rakuten.ne.jp/gold/housegram/Images/item/c0250.jpg"" width=""800"" height=""280"" alt=""""/></td>
    </tr>
  </tbody>
</table>",内村七生 うちむらなお 色絵小菊 長角平皿【プレート 角皿 平皿 うつわ 和食器 洋食器 作家 陶磁器 テーブルウェア 色絵 絵付 九谷焼 青窯】：ハウスグラム,うつわ食器作家ハウスグラムお皿キッチン用品九谷焼有田焼波佐見焼九谷青窯1616aritajapanKINTO工房アイザワSur　アクセサリー野田琺瑯アマブロムーミン北欧倉敷意匠コーヒー用品内村七生 うちむらなお 色絵小菊 長角平皿【プレート 角皿 平皿 うつわ 和食器 洋食器 作家 陶磁器 テーブルウェア 色絵 絵付 九谷焼 青窯】,内村七生/色絵小菊/角皿/プレート/うつわ/和食器/陶磁器/。内村七生 うちむらなお 色絵小菊 長角平皿【プレート 角皿 平皿 うつわ 和食器 洋食器 作家 陶磁器 テーブルウェア 色絵 絵付 九谷焼 青窯】[rn]
